Starting Rooms:
0, 21, 5, 5

0, 21, 5, 5
-> 0, 16, 4, 6
-> 0, 25, 6, 5
-> 4, 21, 4, 5

0, 16, 4, 6
-> 0, 21, 5, 5
-> 3, 17, 5, 5
-> 0, 13, 4, 4

0, 25, 6, 5
-> 0, 21, 5, 5
-> 5, 25, 5, 5

5, 25, 5, 5
-> 0, 25, 6, 5
-> 9, 25, 4, 5
-> 4, 21, 4, 5
-> 7, 21, 4, 5

9, 25, 4, 5
-> 5, 25, 5, 5
-> 10, 21, 5, 5
-> 12, 25, 5, 5

3, 0, 5, 4
-> 3, 3, 5, 5
-> 0, 0, 4, 4
-> 7, 0, 4, 4

3, 3, 5, 5
-> 3, 0, 5, 4
-> 3, 7, 5, 5
-> 0, 3, 4, 5
-> 7, 3, 4, 6

3, 7, 5, 5
-> 3, 3, 5, 5
-> 0, 7, 4, 4
-> 7, 8, 4, 6
-> 3, 11, 5, 4

13, 0, 4, 4
-> 10, 0, 4, 4
-> 16, 0, 5, 4
-> 13, 3, 6, 5

4, 21, 4, 5
-> 0, 21, 5, 5
-> 5, 25, 5, 5
-> 7, 21, 4, 5
-> 3, 17, 5, 5

7, 21, 4, 5
-> 5, 25, 5, 5
-> 4, 21, 4, 5
-> 10, 21, 5, 5
-> 7, 16, 4, 6

10, 21, 5, 5
-> 9, 25, 4, 5
-> 7, 21, 4, 5
-> 10, 16, 4, 6
-> 12, 25, 5, 5
-> 14, 21, 4, 5

0, 0, 4, 4
-> 3, 0, 5, 4
-> 0, 3, 4, 5

0, 3, 4, 5
-> 3, 3, 5, 5
-> 0, 0, 4, 4
-> 0, 7, 4, 4

0, 7, 4, 4
-> 3, 7, 5, 5
-> 0, 3, 4, 5
-> 0, 10, 4, 4

3, 17, 5, 5
-> 0, 16, 4, 6
-> 4, 21, 4, 5
-> 7, 16, 4, 6
-> 3, 14, 5, 4

7, 8, 4, 6
-> 3, 7, 5, 5
-> 7, 13, 4, 4
-> 3, 11, 5, 4
-> 7, 3, 4, 6
-> 10, 7, 4, 4
-> 10, 10, 4, 4

7, 13, 4, 4
-> 7, 8, 4, 6
-> 7, 16, 4, 6
-> 10, 13, 4, 4
-> 3, 14, 5, 4

7, 16, 4, 6
-> 7, 21, 4, 5
-> 3, 17, 5, 5
-> 7, 13, 4, 4
-> 10, 16, 4, 6

10, 0, 4, 4
-> 13, 0, 4, 4
